	Alleles	128	186	194	198	202	206	210	214	230	234	238	242	246	250	254	258	262	266	270	274	278	282	286	290	294	298	302	306	310	326	338	342	350									
RBL1	One_One111v4_1	2	0	2	33	56	23	7	1	3	0	3	1	6	2	0	1	2	2	4	5	10	10	8	2	3	3	0	0	0	0	0	1	0									
RBL2	One_One111v4_1	0	0	0	27	57	19	8	0	1	0	2	2	4	1	1	3	0	5	5	2	15	16	3	6	4	2	1	2	0	0	0	0	0									
RBL3	One_One111v4_1	0	1	2	33	61	14	8	0	2	2	2	0	6	0	0	0	0	3	7	3	16	8	5	2	3	4	0	0	0	0	1	0	1									
RBL4	One_One111v4_1	0	0	0	33	58	19	10	0	2	0	1	5	2	0	1	0	0	7	6	6	9	8	6	4	1	1	1	1	1	0	0	0	0									
RTE1	One_One111v4_1	0	1	2	21	61	18	5	2	1	3	2	10	1	0	0	0	1	7	3	9	12	13	8	3	2	1	2	0	0	0	0	0	0									
RTE2	One_One111v4_1	0	0	3	25	38	21	5	1	3	5	2	5	4	1	0	0	0	6	3	11	11	13	17	4	3	1	1	0	0	1	0	0	0									
	Alleles	171	215	219	223	227	231	235	239	243	247	251	255	259	263	267	271	275	279	283	287	291	295	299	307	344																	
RBL1	One_One114v4_1	0	0	7	4	3	9	2	6	20	11	21	22	19	17	13	13	10	5	1	0	2	1	0	0	0																	
RBL2	One_One114v4_1	1	5	9	2	3	11	5	13	13	15	16	12	14	20	15	8	9	3	4	3	3	5	0	1	0																	
RBL3	One_One114v4_1	2	4	5	1	0	6	7	6	19	25	18	12	14	29	11	9	11	3	3	2	1	0	0	0	2																	
RBL4	One_One114v4_1	0	1	9	2	5	8	4	8	15	12	20	17	16	22	24	6	10	2	1	4	2	1	1	0	0																	
RTE1	One_One114v4_1	0	0	10	2	3	9	4	16	8	18	17	22	17	10	11	15	12	6	4	1	3	1	1	0	0																	
RTE2	One_One114v4_1	0	1	10	1	5	8	6	11	12	18	16	19	18	10	11	11	11	7	2	3	7	1	2	0	0																	
	Alleles	173	177	181	185	189	193	197	201	205	209	213	217	221	225	229	233	237	253																								
RBL1	One_One115_1	2	1	1	1	2	0	14	11	26	26	26	41	25	8	2	0	0	0																								
RBL2	One_One115_1	1	1	4	1	1	0	14	6	32	25	40	29	19	9	5	1	0	0																								
RBL3	One_One115_1	2	1	3	1	2	3	17	14	12	35	37	30	18	8	1	2	0	0																								
RBL4	One_One115_1	0	0	4	0	2	2	15	13	26	25	38	30	20	11	2	0	1	1																								
RTE1	One_One115_1	5	0	0	3	9	7	19	12	16	19	29	33	20	12	1	1	0	0																								
RTE2	One_One115_1	1	0	0	0	4	2	26	10	18	25	41	27	17	9	6	0	0	0																								
	Alleles	133	145	149	153	157	161	165	169	173	177	181	185	189	193	197	201	205	209	213																							
RBL1	One_Ots103v4_1	0	1	2	1	20	47	5	7	2	12	8	16	7	12	2	14	32	0	2																							
RBL2	One_Ots103v4_1	0	2	5	2	16	60	11	9	4	4	4	20	3	11	8	9	19	1	0																							
RBL3	One_Ots103v4_1	1	0	4	2	24	53	3	6	4	9	11	12	5	11	4	4	32	1	0																							
RBL4	One_Ots103v4_1	0	0	6	5	20	50	1	10	1	8	8	18	7	16	3	15	21	1	0																							
RTE1	One_Ots103v4_1	0	0	1	0	64	44	6	18	1	11	5	10	5	13	1	4	5	2	0																							
RTE2	One_Ots103v4_1	0	0	2	0	74	26	11	19	0	5	16	3	5	11	1	3	13	0	1																							
	Alleles	80	106	110	114	118	122																																				
RBL1	One_Ots107v4_1	19	0	41	106	22	2																																				
RBL2	One_Ots107v4_1	20	0	31	119	15	5																																				
RBL3	One_Ots107v4_1	21	1	47	99	18	4																																				
RBL4	One_Ots107v4_1	22	0	32	113	20	3																																				
RTE1	One_Ots107v4_1	24	0	31	97	33	5																																				
RTE2	One_Ots107v4_1	20	0	43	107	17	3																																				
	Alleles	112	114	116	118	120	128	130	132																																		
RBL1	One_uSat60v4_1	1	5	91	9	1	72	5	0																																		
RBL2	One_uSat60v4_1	0	5	86	8	8	82	1	0																																		
RBL3	One_uSat60v4_1	0	3	84	5	4	87	7	0																																		
RBL4	One_uSat60v4_1	0	2	85	6	4	85	5	1																																		
RTE1	One_uSat60v4_1	0	2	75	8	0	97	2	0																																		
RTE2	One_uSat60v4_1	0	2	85	7	0	85	0	3																																		
