P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
FTM4_078      & KTE1_096      >565.355483202  Highly sign.
FTM5_095      & KTE1_096      >577.372922202  Highly sign.
FTM6_095      & KTE1_096      >593.539577202  Highly sign.
KBL1_096      & KTE1_096      >352.872348202  Highly sign.
KBL2_097      & KTE1_096      >386.516427202  Highly sign.
KBL4_096      & KTE1_096      >353.548400202  Highly sign.
KBL5_096      & KTE1_096      >360.746384202  Highly sign.
KOL1_062      & KTE1_096      >457.327194202  Highly sign.
FBM1_095      & KTE2_096      >560.946773202  Highly sign.
FBM2_095      & KTE2_096      >533.557633202  Highly sign.
FBM3_095      & KTE2_096      >548.459217202  Highly sign.
FBM4_095      & KTE2_096      >554.943740202  Highly sign.
FTM1_095      & KTE2_096      >506.057809202  Highly sign.
FTM2_095      & KTE2_096      >459.436223202  Highly sign.
FTM3_093      & KTE2_096      >408.612052202  Highly sign.
FTM4_078      & KTE2_096      >495.062498202  Highly sign.
FTM5_095      & KTE2_096      >500.763580202  Highly sign.
FTM6_095      & KTE2_096      >512.440126202  Highly sign.
KBL1_096      & KTE2_096      >465.991364202  Highly sign.
KBL2_097      & KTE2_096      >478.199612202  Highly sign.
KBL4_096      & KTE2_096      >470.438671202  Highly sign.
KBL5_096      & KTE2_096      >436.782925202  Highly sign.
KOL1_062      & KTE2_096      >460.976907202  Highly sign.
KTE1_096      & KTE2_096      273.362784202  0.000614
FBM1_095      & KTE4_066      >502.841515202  Highly sign.
FBM2_095      & KTE4_066      >538.595330202  Highly sign.
FBM3_095      & KTE4_066      >579.417432202  Highly sign.
FBM4_095      & KTE4_066      >551.936656202  Highly sign.
FTM1_095      & KTE4_066      >492.367444202  Highly sign.
FTM2_095      & KTE4_066      >462.745468202  Highly sign.
FTM3_093      & KTE4_066      >430.987639202  Highly sign.
FTM4_078      & KTE4_066      >506.279661202  Highly sign.
FTM5_095      & KTE4_066      >491.307828202  Highly sign.
FTM6_095      & KTE4_066      >492.194891202  Highly sign.
KBL1_096      & KTE4_066      >332.550695202  Highly sign.
KBL2_097      & KTE4_066      >340.163116202  Highly sign.
KBL4_096      & KTE4_066      >336.423791202  Highly sign.
KBL5_096      & KTE4_066      >337.673780202  Highly sign.
KOL1_062      & KTE4_066      >360.305699202  Highly sign.
KTE1_096      & KTE4_066      173.722288202  0.925769
KTE2_096      & KTE4_066      226.429809202  0.114557
FBM1_095      & KTE5_096      >490.898802202  Highly sign.
FBM2_095      & KTE5_096      >569.610054202  Highly sign.
FBM3_095      & KTE5_096      >558.549410202  Highly sign.
FBM4_095      & KTE5_096      >574.124944202  Highly sign.
FTM1_095      & KTE5_096      >483.665843202  Highly sign.
FTM2_095      & KTE5_096      >466.852107202  Highly sign.
FTM3_093      & KTE5_096      >483.201350202  Highly sign.
FTM4_078      & KTE5_096      >492.563387202  Highly sign.
FTM5_095      & KTE5_096      >540.222465202  Highly sign.
FTM6_095      & KTE5_096      >519.646018202  Highly sign.
KBL1_096      & KTE5_096      >355.698181202  Highly sign.
KBL2_097      & KTE5_096      >401.054682202  Highly sign.
KBL4_096      & KTE5_096      >374.415786202  Highly sign.
KBL5_096      & KTE5_096      >390.752684202  Highly sign.
KOL1_062      & KTE5_096      >379.947512200  Highly sign.
KTE1_096      & KTE5_096      229.716246202  0.087957
KTE2_096      & KTE5_096      270.084658202  0.000973
KTE4_066      & KTE5_096      207.900676202  0.372998
FBM1_095      & KTE6_096      >499.501825202  Highly sign.
FBM2_095      & KTE6_096      >575.113206202  Highly sign.
FBM3_095      & KTE6_096      >609.741108202  Highly sign.
FBM4_095      & KTE6_096      >560.807001202  Highly sign.
FTM1_095      & KTE6_096      >501.542474202  Highly sign.
FTM2_095      & KTE6_096      >499.168168202  Highly sign.
FTM3_093      & KTE6_096      >449.789221202  Highly sign.
FTM4_078      & KTE6_096      >495.978776202  Highly sign.
FTM5_095      & KTE6_096      >519.021238202  Highly sign.
FTM6_095      & KTE6_096      >537.576648202  Highly sign.
KBL1_096      & KTE6_096      >384.080443202  Highly sign.
KBL2_097      & KTE6_096      >436.497459202  Highly sign.
KBL4_096      & KTE6_096      >381.404555202  Highly sign.
KBL5_096      & KTE6_096      >360.639517202  Highly sign.
KOL1_062      & KTE6_096      >439.499695202  Highly sign.
KTE1_096      & KTE6_096      247.988993202  0.015130
KTE2_096      & KTE6_096      236.879652202  0.046750
KTE4_066      & KTE6_096      198.639895202  0.553670
KTE5_096      & KTE6_096      199.689653202  0.532763
FBM1_095      & KTE7_096      >541.514568202  Highly sign.
FBM2_095      & KTE7_096      >596.478870202  Highly sign.
FBM3_095      & KTE7_096      >623.099024202  Highly sign.
FBM4_095      & KTE7_096      >611.657425202  Highly sign.
FTM1_095      & KTE7_096      >560.775074202  Highly sign.
FTM2_095      & KTE7_096      >514.533303202  Highly sign.
FTM3_093      & KTE7_096      >498.597887202  Highly sign.
FTM4_078      & KTE7_096      >548.317579202  Highly sign.
FTM5_095      & KTE7_096      >514.686551202  Highly sign.
FTM6_095      & KTE7_096      >606.487739202  Highly sign.
KBL1_096      & KTE7_096      >406.364416202  Highly sign.
KBL2_097      & KTE7_096      >400.095324202  Highly sign.
KBL4_096      & KTE7_096      >407.550862202  Highly sign.
KBL5_096      & KTE7_096      >350.980336202  Highly sign.
KOL1_062      & KTE7_096      >470.103706202  Highly sign.
KTE1_096      & KTE7_096      242.764146202  0.026291
KTE2_096      & KTE7_096      261.807128202  0.002930
KTE4_066      & KTE7_096      180.354450202  0.860966
KTE5_096      & KTE7_096      204.987558202  0.428153
KTE6_096      & KTE7_096      186.562200202  0.774976
FBM1_095      & KTE8_096      >489.498030202  Highly sign.
FBM2_095      & KTE8_096      >571.261727202  Highly sign.
FBM3_095      & KTE8_096      >601.830924202  Highly sign.
FBM4_095      & KTE8_096      >657.919500202  Highly sign.
FTM1_095      & KTE8_096      >567.629410202  Highly sign.
FTM2_095      & KTE8_096      >550.863863202  Highly sign.
FTM3_093      & KTE8_096      >541.726567202  Highly sign.
FTM4_078      & KTE8_096      >566.610044202  Highly sign.
FTM5_095      & KTE8_096      >574.478003202  Highly sign.
FTM6_095      & KTE8_096      >575.096622202  Highly sign.
KBL1_096      & KTE8_096      >402.131701202  Highly sign.
KBL2_097      & KTE8_096      >404.465179202  Highly sign.
KBL4_096      & KTE8_096      >377.515843202  Highly sign.
KBL5_096      & KTE8_096      >338.601229202  Highly sign.
KOL1_062      & KTE8_096      >458.096618202  Highly sign.
KTE1_096      & KTE8_096      223.256294202  0.145566
KTE2_096      & KTE8_096      240.123558202  0.034251
KTE4_066      & KTE8_096      185.991005202  0.783870
KTE5_096      & KTE8_096      195.765088202  0.610368
KTE6_096      & KTE8_096      197.489734202  0.576488
