FST	Target Het.	ExpHetBP	MeanHetWP	NumMutsOnTree	Target Mean FST = 0.0395367
0.0394099	0.253342	0.494285	0.474805	2
0.0166378	0.602972	0.620475	0.610152	13
0	0.00162025	0	0	0
0.0607459	0.542687	0.638796	0.599992	9
0.0798599	0.381985	0.542911	0.499554	3
0	0.0411703	0	0	0
0.0206956	0.271902	0.443096	0.433926	2
0.0164903	0.329976	0.387205	0.38082	4
0.0100408	0.501503	0.593362	0.587404	8
0.0148327	0.588661	0.721964	0.711255	10
0.0281437	0.577852	0.707836	0.687915	14
0.03023	0.0124556	0.21456	0.208074	1
0.0265205	0.261019	0.336374	0.327453	4
0.0434464	0.621402	0.467533	0.44722	6
0.0480849	0.171191	0.0410995	0.0391232	2
0.010404	0.111383	0.117656	0.116432	1
0	0.235374	0	0	0
0.0131985	0.271944	0.459607	0.453541	3
0.0150094	0.39432	0.390668	0.384804	3
0	0.0218981	0	0	0
0	0.0289719	0	0	0
0.0394552	0.571428	0.717586	0.689274	13
0.0140988	0.255879	0.484481	0.47765	2
0.0505112	0.443291	0.250543	0.237888	3
0	0.321418	0	0	0
0.00445935	0.406037	0.251175	0.250055	1
0.0692686	0.28187	0.49104	0.457027	2
0.00866547	0.423499	0.533661	0.529036	2
0.0107869	0.368956	0.115392	0.114148	2
0.0332983	0.648591	0.680182	0.657533	13
0.0477708	0.341501	0.446084	0.424774	5
0.0338809	0.394811	0.431717	0.41709	8
0.027301	0.69059	0.675854	0.657402	9
0	0.0351269	0	0	0
0.0375911	0.588178	0.718685	0.691669	14
0.0742245	0.157849	0.286834	0.265544	1
0.0227698	0.331787	0.446302	0.436139	2
0.0369728	0.662745	0.550771	0.530408	13
0.0146637	0.542995	0.613578	0.604581	5
0.0189893	0.314574	0.320541	0.314454	1
0.0242313	0.264305	0.360254	0.351524	1
0.0198915	0.588741	0.509492	0.499357	10
0.115	0.452439	0.161983	0.143355	1
0.0848241	0.100458	0.0241573	0.0221082	1
0.0266235	0.405374	0.1323	0.128778	3
0.0356719	0.571629	0.370659	0.357437	5
0.0171757	0.308207	0.107727	0.105877	2
0.0232522	0.57132	0.688099	0.672099	10
0.0295183	0.452289	0.725304	0.703895	5
0.0366523	0.500428	0.694538	0.669082	5
0.0187763	0.154957	0.050355	0.0494095	2
0.0242253	0.623961	0.646587	0.630923	25
0.0374715	0.284308	0.118088	0.113663	2
0.0379328	0.622695	0.275947	0.265479	5
0.014136	0.158887	0.157683	0.155454	2
0.0204858	0.34972	0.475819	0.466071	5
0.00392273	0.484423	0.571146	0.568905	8
0.0245649	0.524922	0.325668	0.317668	5
0.0402963	0.613727	0.713046	0.684313	14
0.0052169	0.349134	0.0594758	0.0591655	2
0.0580915	0.131002	0.7148	0.673276	3
0	0.00517752	0	0	0
0	0.0561562	0	0	0
