P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
FTM4_078      & KTE1_096      >571.255090204  Highly sign.
FTM5_095      & KTE1_096      >579.408694204  Highly sign.
FTM6_095      & KTE1_096      >594.425581204  Highly sign.
KBL1_096      & KTE1_096      >354.122413204  Highly sign.
KBL2_097      & KTE1_096      >390.801309204  Highly sign.
KBL4_096      & KTE1_096      >357.873490204  Highly sign.
KBL5_096      & KTE1_096      >364.421346204  Highly sign.
KOL1_062      & KTE1_096      >469.339132204  Highly sign.
FBM1_095      & KTE2_096      >567.221457204  Highly sign.
FBM2_095      & KTE2_096      >540.665771204  Highly sign.
FBM3_095      & KTE2_096      >566.068968204  Highly sign.
FBM4_095      & KTE2_096      >562.754431204  Highly sign.
FOM1_095      & KTE2_096      >509.032391204  Highly sign.
FTM2_095      & KTE2_096      >465.803434204  Highly sign.
FTM3_093      & KTE2_096      >411.041459204  Highly sign.
FTM4_078      & KTE2_096      >498.121627204  Highly sign.
FTM5_095      & KTE2_096      >513.147317204  Highly sign.
FTM6_095      & KTE2_096      >517.157337204  Highly sign.
KBL1_096      & KTE2_096      >470.609456204  Highly sign.
KBL2_097      & KTE2_096      >479.607146204  Highly sign.
KBL4_096      & KTE2_096      >471.839668204  Highly sign.
KBL5_096      & KTE2_096      >438.647898204  Highly sign.
KOL1_062      & KTE2_096      >460.976907204  Highly sign.
KTE1_096      & KTE2_096      280.869065204  0.000290
FBM1_095      & KTE4_066      >504.338395204  Highly sign.
FBM2_095      & KTE4_066      >540.430433204  Highly sign.
FBM3_095      & KTE4_066      >587.210913204  Highly sign.
FBM4_095      & KTE4_066      >554.963711204  Highly sign.
FOM1_095      & KTE4_066      >492.670030204  Highly sign.
FTM2_095      & KTE4_066      >464.590287204  Highly sign.
FTM3_093      & KTE4_066      >430.987639204  Highly sign.
FTM4_078      & KTE4_066      >507.693083204  Highly sign.
FTM5_095      & KTE4_066      >496.475709204  Highly sign.
FTM6_095      & KTE4_066      >493.619796204  Highly sign.
